aa + ins [min],IR-beta-pY1146,IRS-pS636/639,AMPK-pT172,TSC2-pS1387,Akt-pT308,Akt-pS473,mTOR-pS2448,mTOR-pS2481,p70-S6K-pT389,PRAS40-pS183,PRAS40-pT246,GAPDH,name,method,insulin
0,100,100,100,100,100,100,100,100,100,100,100,100,AS001_EV,normalized to 0 minute (divided by value at 0),yes
1,162.44,89.9217671421997,92.6061287601912,83.3735585947975,146.028513238289,405.056179775281,66.7992047713718,110.980256321441,120.867768595041,115.727584517393,239.759036144578,100.28,AS001_EV,normalized to 0 minute (divided by value at 0),yes
3,161.36,157.846295444087,198.650548214788,119.28130866184,1618.53360488798,8564.04494382022,305.367793240557,177.329407689643,144.318181818182,181.548260656541,688.403614457831,119.34,AS001_EV,normalized to 0 minute (divided by value at 0),yes
5,135.87,119.880349746894,383.66601068316,133.789219629928,5290.63136456212,13903.9325842697,532.20675944334,198.129546241773,166.580578512397,218.265556099951,813.002008032128,109.01,AS001_EV,normalized to 0 minute (divided by value at 0),yes
10,124.12,203.727565577543,319.510823727861,106.38240815232,10973.7270875764,16602.2471910112,1052.18687872763,338.811915483201,434.814049586777,257.746202841744,761.395582329317,92.08,AS001_EV,normalized to 0 minute (divided by value at 0),yes
15,113.34,179.521398987575,309.811639021647,149.369804237061,11111.4052953157,23587.0786516854,1080.51689860835,315.621752684448,662.75826446281,246.006859382656,688.90562248996,88.77,AS001_EV,normalized to 0 minute (divided by value at 0),yes
30,131.57,128.025770823746,334.945178521226,207.56234915527,16385.7433808554,31951.6853932584,1671.07355864811,429.321094561829,1625.25826446281,313.787359137678,942.871485943775,93.94,AS001_EV,normalized to 0 minute (divided by value at 0),yes
45,134.97,270.16413560362,281.360697216756,231.107535532314,11383.7067209776,32514.606741573,1283.1013916501,453.377208174576,1632.28305785124,210.289073983341,824.748995983936,101.33,AS001_EV,normalized to 0 minute (divided by value at 0),yes
60,114.24,202.837858567265,171.773966825977,198.739608474122,7222.19959266803,25929.2134831461,880.417495029821,303.186698995497,999.845041322314,157.305242528172,660.542168674699,84.43,AS001_EV,normalized to 0 minute (divided by value at 0),yes
120,139.2,251.326890627397,154.962046668541,204.532046124966,3735.43788187373,15222.4719101124,1134.59244532803,364.755801870454,766.528925619835,134.708476237139,743.473895582329,95.38,AS001_EV,normalized to 0 minute (divided by value at 0),yes
0,1,1,1,1,1,1,1,1,1,1,1,,AS001_EV,Normalized to loading control (GAPDH) for specific value at each time point,yes
1,1.61986437973674,0.89670689212405,0.923475556044986,0.831407644543254,1.45620775068098,4.03925189245394,0.666126892414956,1.10670379259514,1.205302838004,1.15404452051648,2.39089585305722,,AS001_EV,Normalized to loading control (GAPDH) for specific value at each time point,yes
3,1.35210323445618,1.32266042771985,1.66457640535267,0.999508200618736,13.5623730927433,71.7617307174478,2.55880503804723,1.48591761094053,1.20930267989092,1.52126915247646,5.76842311427712,,AS001_EV,Normalized to loading control (GAPDH) for specific value at each time point,yes
5,1.2463994128979,1.09971883081271,3.51954876326172,1.22731143592265,48.5334498171005,127.547312946241,4.88218291389175,1.81753551272152,1.52812199350882,2.00225260159573,7.45804979389164,,AS001_EV,Normalized to loading control (GAPDH) for specific value at each time point,yes
10,1.34795829713293,2.21250614224091,3.46992640886035,1.15532589218419,119.176010942402,180.302423881529,11.4268774840099,3.67953861298003,4.72213346640722,2.79915511339861,8.2688486352011,,AS001_EV,Normalized to loading control (GAPDH) for specific value at each time point,yes
15,1.27678269685705,2.02232059240256,3.49004887936969,1.68266085656259,125.170725417548,265.710021985867,12.17209528679,3.55550019921649,7.46601627197037,2.77128376008399,7.76056801272908,,AS001_EV,Normalized to loading control (GAPDH) for specific value at each time point,yes
30,1.40057483500106,1.3628461871806,3.56552244540373,2.20952042958559,174.427755810681,340.128650130492,17.7887327937844,4.57016281202713,17.3010247441219,3.34029549859142,10.0369542893738,,AS001_EV,Normalized to loading control (GAPDH) for specific value at each time point,yes
45,1.33198460475674,2.66618114678397,2.7766771658616,2.28074149346012,112.342906552626,320.878384896605,12.6626013189588,4.47426436568219,16.1085863796629,2.07528939093399,8.1392380931998,,AS001_EV,Normalized to loading control (GAPDH) for specific value at each time point,yes
60,1.35307355205496,2.40243821588612,2.0345134054954,2.35389800395738,85.540679766292,307.109007262183,10.4277803509395,3.59098305099487,11.8422958820599,1.86314393613848,7.82354813069642,,AS001_EV,Normalized to loading control (GAPDH) for specific value at each time point,yes
120,1.45942545607046,2.63500619236105,1.62468071575321,2.14439134121373,39.1637437814398,159.598153807008,11.8954963863287,3.82423780530986,8.03657921597646,1.41233462190332,7.79486155989022,,AS001_EV,Normalized to loading control (GAPDH) for specific value at each time point,yes
0,100,100,100,100,100,100,100,100,100,100,100,100,AS001_FM,normalized to 0 minute (divided by value at 0),yes
1,190.41,86.34,487.33,88.97,4394.39,1008,115.52,118.96,152.81,181.48,443.58,99.78,AS001_FM,normalized to 0 minute (divided by value at 0),yes
3,174.22,124.39,672.24,139.77,16162.36,2422.21,197.58,163.05,304.37,278.51,641.03,105.22,AS001_FM,normalized to 0 minute (divided by value at 0),yes
5,,190.39,731.46,142.72,21100.78,2503.83,290.02,157.41,688.92,386.06,670.06,91.53,AS001_FM,normalized to 0 minute (divided by value at 0),yes
10,,360.29,454.54,171.91,26044.2,2966.4,360.63,202.83,1838.31,368.8,859.63,76.52,AS001_FM,normalized to 0 minute (divided by value at 0),yes
15,,481.35,252.62,176.27,23670.04,2627.64,375.83,250.82,2322.8,349.84,887.11,82.03,AS001_FM,normalized to 0 minute (divided by value at 0),yes
30,269.21,685.55,276.01,176.5,25317.86,1950.89,322.06,275.33,3559.04,404.87,882.56,81,AS001_FM,normalized to 0 minute (divided by value at 0),yes
45,217.93,816.63,193.36,103.23,14790.97,1660.18,333.83,253.02,2507.14,207.39,702.52,87.9,AS001_FM,normalized to 0 minute (divided by value at 0),yes
60,231.7,1124.23,223.46,105.86,13538.87,1490.06,396.7,231.32,3178.17,233.66,758.93,90.89,AS001_FM,normalized to 0 minute (divided by value at 0),yes
120,199.34,687.43,348.18,91.91,7401.86,866.06,487.03,205.27,3093.38,137.98,788.96,89.28,AS001_FM,normalized to 0 minute (divided by value at 0),yes
0,1,1,1,1,1,1,1,1,1,1,1,,AS001_FM,Normalized to loading control (GAPDH) for specific value at each time point,yes
1,1.91,0.87,4.88,0.89,44.04,10.1,1.16,1.19,1.53,1.82,4.45,,AS001_FM,Normalized to loading control (GAPDH) for specific value at each time point,yes
3,1.66,1.18,6.39,1.33,153.61,23.02,1.88,1.55,2.89,2.65,6.09,,AS001_FM,Normalized to loading control (GAPDH) for specific value at each time point,yes
5,,2.08,7.99,1.56,230.53,27.36,3.17,1.72,7.53,4.22,7.32,,AS001_FM,Normalized to loading control (GAPDH) for specific value at each time point,yes
10,,4.71,5.94,2.25,340.36,38.77,4.71,2.65,24.02,4.82,11.23,,AS001_FM,Normalized to loading control (GAPDH) for specific value at each time point,yes
15,,5.87,3.08,2.15,288.55,32.03,4.58,3.06,28.32,4.26,10.81,,AS001_FM,Normalized to loading control (GAPDH) for specific value at each time point,yes
30,3.32,8.46,3.41,2.18,312.57,24.09,3.98,3.4,43.94,5,10.9,,AS001_FM,Normalized to loading control (GAPDH) for specific value at each time point,yes
45,2.48,9.29,2.2,1.17,168.27,18.89,3.8,2.88,28.52,2.36,7.99,,AS001_FM,Normalized to loading control (GAPDH) for specific value at each time point,yes
60,2.55,12.37,2.46,1.16,148.96,16.39,4.36,2.55,34.97,2.57,8.35,,AS001_FM,Normalized to loading control (GAPDH) for specific value at each time point,yes
120,2.23,7.7,3.9,1.03,82.91,9.7,5.46,2.3,34.65,1.55,8.84,,AS001_FM,Normalized to loading control (GAPDH) for specific value at each time point,yes
0,1,1,1,1,1,1,1,1,1,1,1,1,AS001_ET,normalized to 0 minute (divided by value at 0),no
1,0.6057,1.15,36.87,1.43,10.17,1.79,1.3,2.19,0.8,4.57,1.04,0.95,AS001_ET,normalized to 0 minute (divided by value at 0),no
3,0.8053,1.15,43.93,0.93,9.81,2.23,1.09,1.7,3.82,18.65,1.1,1.08,AS001_ET,normalized to 0 minute (divided by value at 0),no
5,0.9248,1.68,56.8,1.33,13.92,4.23,1.68,1.76,7.8,66.19,1.83,1.13,AS001_ET,normalized to 0 minute (divided by value at 0),no
10,1.0121,2.08,14.51,0.92,16.81,8.83,2.31,1.65,17.91,108.6,2.99,1.06,AS001_ET,normalized to 0 minute (divided by value at 0),no
15,1.1077,3.28,10.36,0.92,12.35,10.14,2.55,1.93,28.89,110.67,3.43,1.02,AS001_ET,normalized to 0 minute (divided by value at 0),no
30,1.2285,4.52,30.52,2.01,16.3,5.89,4.23,3.53,97.21,116.64,2.79,0.97,AS001_ET,normalized to 0 minute (divided by value at 0),no
45,1.027,3.92,43.34,1.82,11.08,3.53,5.21,2.15,88.83,66.17,1.66,1.02,AS001_ET,normalized to 0 minute (divided by value at 0),no
60,1.3542,3.2,19.87,1.12,7.47,3.7,3.51,1.69,45.59,48.55,1.37,1.03,AS001_ET,normalized to 0 minute (divided by value at 0),no
120,1.5204,2.91,18.76,0.99,5.81,3.04,4.12,1.95,36.1,72.46,1.12,1.24,AS001_ET,normalized to 0 minute (divided by value at 0),no
0,1,1,1,1,1,1,1,1,1,1,1,,AS001_ET,Normalized to loading control (GAPDH) for specific value at each time point,no
1,0.637578947368421,1.22,38.91,1.51,10.74,1.89,1.37,2.31,0.84,4.82,1.1,,AS001_ET,Normalized to loading control (GAPDH) for specific value at each time point,no
3,0.745648148148148,1.06,40.55,0.85,9.05,2.06,1.01,1.57,3.53,17.22,1.01,,AS001_ET,Normalized to loading control (GAPDH) for specific value at each time point,no
5,0.818407079646018,1.49,50.36,1.18,12.34,3.75,1.49,1.56,6.92,58.68,1.62,,AS001_ET,Normalized to loading control (GAPDH) for specific value at each time point,no
10,0.954811320754717,1.97,13.73,0.87,15.92,8.36,2.19,1.57,16.96,102.82,2.83,,AS001_ET,Normalized to loading control (GAPDH) for specific value at each time point,no
15,1.08598039215686,3.2,10.12,0.9,12.06,9.9,2.49,1.89,28.22,108.12,3.35,,AS001_ET,Normalized to loading control (GAPDH) for specific value at each time point,no
30,1.26649484536082,4.66,31.46,2.07,16.8,6.07,4.36,3.64,100.21,120.24,2.88,,AS001_ET,Normalized to loading control (GAPDH) for specific value at each time point,no
45,1.00686274509804,3.84,42.43,1.78,10.85,3.46,5.1,2.11,86.97,64.78,1.63,,AS001_ET,Normalized to loading control (GAPDH) for specific value at each time point,no
60,1.3147572815534,3.11,19.28,1.08,7.25,3.6,3.41,1.64,44.24,47.12,1.33,,AS001_ET,Normalized to loading control (GAPDH) for specific value at each time point,no
120,1.22612903225806,2.35,15.15,0.8,4.69,2.45,3.33,1.58,29.16,58.52,0.91,,AS001_ET,Normalized to loading control (GAPDH) for specific value at each time point,no
1,94.9489922866385,84.3834557402397,586.215808744346,120.583190394511,167.295597484277,107.905138339921,61.83,131.124202258223,549.122807017544,215.357142857143,175,103.853595614318,AS001_EW,normalized to 0 minute (divided by value at 0),no
3,85.0957949738741,118.979512949362,675.769976308421,140.081727373625,210.062893081761,127.272727272727,110.4,190.746195385371,1028.0701754386,351.984126984127,201.97628458498,74.9596904224444,AS001_EW,normalized to 0 minute (divided by value at 0),no
5,105.411793978602,149.362195593351,416.950247684687,118.343254969226,289.308176100629,258.893280632411,55.02,253.190967108493,2066.66666666667,590.992063492064,331.324110671937,81.0706223798774,AS001_EW,normalized to 0 minute (divided by value at 0),no
10,104.503607862652,182.412060301508,117.230239069567,99.1675915649279,345.283018867925,416.99604743083,125.08,182.40058910162,4238.59649122807,661.507936507936,476.185770750988,100.435343437601,AS001_EW,normalized to 0 minute (divided by value at 0),no
15,107.016670813635,313.181291070738,397.30777514538,136.958934517203,537.106918238994,277.470355731225,185.35,293.618065783014,16921.0526315789,771.031746031746,528.359683794466,123.750403095776,AS001_EW,normalized to 0 minute (divided by value at 0),no
30,88.3926349838268,250.251256281407,319.384018953263,119.321965492887,135.220125786164,63.2411067193676,353.68,162.346588119784,17712.2807017544,428.769841269841,186.857707509881,111.96388261851,AS001_EW,normalized to 0 minute (divided by value at 0),no
45,115.376959442647,368.341708542714,389.877234546629,129.684189284633,113.207547169811,42.6877470355731,590.17,136.892488954345,19000,498.412698412698,127.96442687747,117.075137052564,AS001_EW,normalized to 0 minute (divided by value at 0),no
60,114.642946006469,229.841515268651,331.768253284514,113.03602058319,116.352201257862,39.5256916996047,480.91,120.839469808542,13754.3859649123,377.301587301587,99.901185770751,112.544340535311,AS001_EW,normalized to 0 minute (divided by value at 0),no
120,119.781040059716,209.895632006185,437.066551798406,97.7247502774695,136.477987421384,60.4743083003953,492.57,132.007854688267,9252.63157894737,237.301587301587,137.154150197628,141.002902289584,AS001_EW,normalized to 0 minute (divided by value at 0),no
0,1,1,1,1,1,1,1,1,1,1,1,,AS001_EW,Normalized to loading control (GAPDH) for specific value at each time point,no
1,0.914258112345493,0.812523199038917,5.64463661827734,1.1610882577655,1.61087920446745,1.03901206021455,0.595357335817419,1.26258702438363,5.28747034485764,2.07366092221705,1.68506443098898,,AS001_EW,Normalized to loading control (GAPDH) for specific value at each time point,no
3,1.13522073656263,1.58724658918465,9.0151116219936,1.86876075106737,2.80234472551749,1.69788224251549,1.47279156807916,2.54465025549596,13.7149736030764,4.69564541956454,2.69446529790502,,AS001_EW,Normalized to loading control (GAPDH) for specific value at each time point,no
5,1.30024651204314,1.84237139433167,5.14304979343761,1.45975510604443,3.56859448722375,3.19342905028284,0.67866754176611,3.12309144392775,25.4921771413419,7.28984243790331,4.08685786473221,,AS001_EW,Normalized to loading control (GAPDH) for specific value at each time point,no
10,1.0405063027198,1.81621383527043,1.167220970797,0.987377432791269,3.43786367477744,4.15188551318992,1.24537832717932,1.81609962049806,42.2022402289235,6.58640587931002,4.74121712987257,,AS001_EW,Normalized to loading control (GAPDH) for specific value at each time point,no
15,0.864778361415195,2.53074966413122,3.21055742208682,1.10673525977289,4.34024378751561,2.24217738924437,1.4977728990228,2.3726635100798,136.735333447625,6.23053926891058,4.26955929497494,,AS001_EW,Normalized to loading control (GAPDH) for specific value at each time point,no
30,0.789474542295067,2.23510698654563,2.85256291121564,1.06571836115623,1.20771201054981,0.564834884610482,3.15887580645162,1.44999069631178,158.196378041879,3.82953709037379,1.66891057312253,,AS001_EW,Normalized to loading control (GAPDH) for specific value at each time point,no
45,0.985494976536696,3.14619925131787,3.33014544643739,1.10770051224803,0.966964891264517,0.364618381923459,5.0409507505853,1.1692703711539,162.288940917229,4.25720362974183,1.09301112173814,,AS001_EW,Normalized to loading control (GAPDH) for specific value at each time point,no
60,1.01864692139273,2.04223077033836,2.94788926485753,1.00436876741683,1.03383431547459,0.351201060058666,4.27307137535817,1.07370543231028,122.213039762731,3.35247055078001,0.887660679298279,,AS001_EW,Normalized to loading control (GAPDH) for specific value at each time point,no
120,0.849493436764275,1.48859086301013,3.09969897570465,0.693069069434953,0.967909065737477,0.428886975504919,3.49333234991424,0.936206649258584,65.6201498600704,1.68295533955911,0.972704447713767,,AS001_EW,Normalized to loading control (GAPDH) for specific value at each time point,no
0,100,100,100,100,100,100,100,100,100,100,100,100,AS001_FL,normalized to 0 minute (divided by value at 0),no
1,138.84,130.26,1714.29,201.61,154.2,49.64,153.41,70.39,226.98,158.08,128.36,92.38,AS001_FL,normalized to 0 minute (divided by value at 0),no
3,224.31,103.41,1377.54,345.64,398.35,366.33,251.37,230.69,462.19,203.32,224.83,102.58,AS001_FL,normalized to 0 minute (divided by value at 0),no
5,248.08,143.88,1252.85,303.97,671.76,1041.8,446.11,143.57,1626.42,399.77,324.07,106.76,AS001_FL,normalized to 0 minute (divided by value at 0),no
10,272.06,190.1,878.66,354.26,1257.64,1727.46,625.26,336.89,6507.17,545,530.14,89.48,AS001_FL,normalized to 0 minute (divided by value at 0),no
15,292.9,267.28,826.19,468.51,1002.17,1221.73,637.54,258.33,8815.43,744.84,511.12,105.66,AS001_FL,normalized to 0 minute (divided by value at 0),no
30,219.8,231.7,783.78,423.57,462.58,530.42,826.54,169.91,7875.32,618.77,359.84,96.79,AS001_FL,normalized to 0 minute (divided by value at 0),no
45,154.68,203.17,944.94,491.57,308.03,352.38,671.2,75.45,5367.09,388.43,215.33,89.18,AS001_FL,normalized to 0 minute (divided by value at 0),no
60,144.52,202.53,940.07,272.42,228.61,250.17,541.99,86.68,3441.99,274.16,152.51,71.61,AS001_FL,normalized to 0 minute (divided by value at 0),no
120,229.05,155.89,962.6,368.8,177.42,167.45,638.66,104.44,2557.42,230.46,137.28,79.87,AS001_FL,normalized to 0 minute (divided by value at 0),no
0,1,1,1,1,1,1,1,1,1,1,1,,AS001_FL,Normalized to loading control (GAPDH) for specific value at each time point,no
1,1.50292271054341,1.41004546438623,18.5569387313271,2.18239878761637,1.66919246590171,0.537345745832431,1.66064083134878,0.761961463520243,2.45702533015804,1.71119289889587,1.38947824204373,,AS001_FL,Normalized to loading control (GAPDH) for specific value at each time point,no
3,2.18668356404757,1.00809124585689,13.4289335153051,3.36946773250146,3.88331058685904,3.57116396958471,2.45047767596023,2.24887892376682,4.50565412361084,1.98206278026906,2.19175277831936,,AS001_FL,Normalized to loading control (GAPDH) for specific value at each time point,no
5,2.32371674784563,,11.7352004496066,2.84722742600225,6.29224428624953,9.75833645560135,4.17862495316598,1.34479205695017,15.2343574372424,3.74456725365305,3.03550018733608,,AS001_FL,Normalized to loading control (GAPDH) for specific value at each time point,no
10,3.04045596781404,2.12449709432275,9.81962449709432,3.9590970049173,14.0549843540456,19.3055431381314,6.98770675011176,3.76497541350022,72.7220607957085,6.09074653553867,5.92467590523022,,AS001_FL,Normalized to loading control (GAPDH) for specific value at each time point,no
15,2.77209918606852,2.52962332008329,7.8193261404505,4.43412833617263,9.48485708877532,11.5628430815824,6.03388226386523,2.44491766042022,83.4320461858792,7.04940374787053,4.83740299072497,,AS001_FL,Normalized to loading control (GAPDH) for specific value at each time point,no
30,2.27089575369356,2.39384233908462,8.09773736956297,4.3761752247133,4.77921272858766,5.48011158177498,8.53951854530427,1.75544994317595,81.3650170472156,6.39291249095981,3.71773943589214,,AS001_FL,Normalized to loading control (GAPDH) for specific value at each time point,no
45,1.73446961202063,2.27820139044629,10.5958735142409,5.51211033864095,3.45402556627046,3.95133437990581,7.52635119982059,0.846041713388652,60.182664274501,4.35557299843014,2.41455483292218,,AS001_FL,Normalized to loading control (GAPDH) for specific value at each time point,no
60,2.01815388912163,2.82823627984918,13.1276358050552,3.80421728808826,3.19243122468929,3.49350649350649,7.56863566540986,1.21044546850998,48.0657729367407,3.82851557045105,2.12973048456919,,AS001_FL,Normalized to loading control (GAPDH) for specific value at each time point,no
120,2.86778515087016,1.95179666958808,12.052084637536,4.61750344309503,2.22135970952798,2.09653186427945,7.99624389633154,1.30762489044698,32.0197821459872,2.88543883811193,1.71879303868787,,AS001_FL,Normalized to loading control (GAPDH) for specific value at each time point,no
